Type,Pasthapp,Responsible,Futurehapp,FTP,complain
2,2,10,5,12,1
3,10,5,5,18,1
1,2,18,3,9,0
3,5,15,0,15,1
1,7,17,7,17,1
1,0,20,5,15,0
2,2,20,5,19,0
3,10,14,11,7,0
1,8,14,8,14,1
2,4,6,5,15,1
2,6,2,7,16,1
1,10,20,10,5,1
1,3,1,3,5,1
1,4,12,5,15,1
1,5,15,2,10,0
2,3,14,1,13,0
1,5,15,15,14,0
2,3,6,2,13,1
1,4,15,4,17,0
3,10,5,5,16,1
1,7,15,4,16,1
3,4,13,2,14,0
2,5,1,3,18,1
3,3,19,5,3,0
1,2,14,9,13,0
2,2,1,3,15,0
3,5,15,5,10,1
3,2,17,0,15,0
3,0,10,0,17,1
3,6,2,0,19,0
1,3,0,6,9,1
1,0,5,1,10,1
2,2,15,1,11,1
2,2,5,4,13,1
1,1,17,1,13,0
2,5,5,5,5,0
2,2,17,7,8,0
3,13,3,2,4,1
1,7,14,5,12,0
2,10,17,5,14,0
3,11,15,9,7,1
1,2,14,5,17,0
2,5,17,5,16,1
3,8,15,7,13,0
2,15,0,5,12,1
2,3,15,5,12,0
2,3,14,1,13,0
1,7,14,5,12,0
2,2,17,7,8,0
2,5,1,3,18,1
2,2,1,3,15,0
3,5,15,5,10,1
3,2,17,0,15,0
3,0,10,0,17,1
3,6,2,0,19,0
1,3,0,6,9,1
1,0,5,1,10,1
1,1,17,1,13,0
2,5,5,5,5,0
2,2,17,7,8,0
3,13,3,2,4,1
1,7,14,5,12,0
2,10,17,5,14,0
